date,5. volume,4. close,2. high,1. open,3. low
2018-05-07,3657009.0,143.22,144.32,144.0,142.6403
2018-05-08,5369119.0,143.0,143.507,143.0,142.06
2018-05-09,4195953.0,142.61,143.02,141.9,141.28
2018-05-10,3726608.0,144.24,144.33,143.15,143.01
2018-05-11,3073167.0,144.14,144.85,144.11,143.58
2018-05-14,3216062.0,144.3,145.12,144.47,144.14
2018-05-15,4089397.0,143.74,143.99,143.5,142.92
2018-05-16,3168659.0,144.63,145.0275,143.7,143.27
2018-05-17,3147659.0,144.5,145.19,144.5,143.77
2018-05-18,2682243.0,144.08,144.94,144.47,143.99
2018-05-21,2894698.0,145.49,146.04,144.95,144.68
2018-05-22,2284020.0,145.09,146.204,145.52,145.0
2018-05-23,3459747.0,144.67,144.7,144.35,143.48
2018-05-24,3398701.0,144.07,144.48,144.39,142.95
2018-05-25,4914294.0,143.64,144.57,143.9,143.46
2018-05-29,4537638.0,141.22,142.89,142.53,140.21
2018-05-30,5118530.0,142.62,143.1,141.9,141.82
2018-05-31,6830256.0,141.31,142.81,142.81,141.05
2018-06-01,3857530.0,141.95,142.84,142.43,141.62
2018-06-04,3035257.0,143.04,143.17,142.3,142.18
2018-06-05,2836017.0,143.7,144.08,143.05,143.04
2018-06-06,3220139.0,144.71,144.72,144.34,143.54
2018-06-07,4316484.0,145.36,146.7,145.0,144.93
2018-06-08,5210468.0,146.14,146.43,145.0,144.37
2018-06-11,3259986.0,146.58,147.41,146.62,146.14
2018-06-12,2640515.0,146.87,147.52,147.1,146.62
2018-06-13,2968180.0,146.35,147.47,146.79,146.2
2018-06-14,3326343.0,145.2,146.98,146.65,145.09
2018-06-15,9116048.0,145.39,145.47,144.9,143.7
2018-06-18,4286406.0,144.48,144.52,144.18,143.14
2018-06-19,3487015.0,143.9,144.22,143.12,142.95
2018-06-20,3329917.0,142.63,144.52,144.22,142.41
2018-06-21,3887650.0,141.25,143.14,142.59,140.83
2018-06-22,6013678.0,141.28,141.81,141.64,140.78
2018-06-25,8937085.0,138.79,140.4,140.4,138.28
2018-06-26,4139455.0,139.08,139.8499,139.36,138.33
2018-06-27,4097588.0,137.48,139.78,139.11,137.45
2018-06-28,4523666.0,140.04,140.54,138.1,137.945
2018-06-29,3753684.0,139.7,141.359,140.32,139.61
2018-07-02,3405642.0,139.86,140.22,138.28,138.2
2018-07-03,1963232.0,139.57,140.94,140.65,139.3678
2018-07-05,3744730.0,141.43,141.43,140.48,139.93
2018-07-06,2910426.0,142.48,142.94,141.53,141.17
2018-07-09,3904652.0,144.39,144.72,142.59,142.47
2018-07-10,3776991.0,144.71,145.59,144.51,144.255
2018-07-11,3526565.0,144.94,146.19,144.0,144.0
2018-07-12,3119505.0,146.45,146.83,145.85,145.74
2018-07-13,3067638.0,145.9,146.9799,146.45,145.8
2018-07-16,3468817.0,145.46,145.79,145.67,144.21
2018-07-17,5096741.0,143.49,145.0,144.75,143.34
2018-07-18,6935288.0,144.52,144.8,143.51,142.7351
2018-07-19,14655804.0,149.24,150.54,147.85,147.25
2018-07-20,6415972.0,146.35,148.86,148.58,146.26
2018-07-23,3897892.0,145.7,146.7,146.35,145.015
2018-07-24,3891625.0,146.38,147.04,146.7,145.92
2018-07-25,3623182.0,146.62,146.65,146.01,145.5
2018-07-26,4778022.0,146.71,149.27,147.43,146.63
2018-07-27,3749642.0,145.15,147.14,146.89,144.66
2018-07-30,3608283.0,145.49,146.24,144.8,144.69
2018-07-31,5474478.0,144.93,145.8,145.74,144.159
2018-08-01,3388386.0,143.5,145.19,144.76,143.34
2018-08-02,3841447.0,142.96,143.36,142.86,142.33
2018-08-03,8053567.0,147.7,147.92,143.24,143.0
2018-08-06,3913743.0,146.03,147.2,146.95,145.57
2018-08-07,3508758.0,147.01,147.64,146.65,146.35
2018-08-08,3581746.0,146.89,147.43,147.33,146.24
2018-08-09,3093504.0,144.77,145.94,145.53,144.73
2018-08-10,3003158.0,144.48,145.07,144.5,143.88
2018-08-13,2858842.0,142.71,144.3,144.15,142.53
2018-08-14,2860041.0,143.36,143.82,143.0,142.93
2018-08-15,4241496.0,143.91,144.0,142.55,142.0
2018-08-16,5250878.0,145.34,145.68,144.37,144.37
2018-08-17,2678820.0,146.06,146.39,144.79,144.69
2018-08-20,2499654.0,146.51,147.16,146.37,146.15
2018-08-21,3106876.0,145.97,147.12,147.0,145.89
2018-08-22,2388961.0,145.24,146.16,146.01,145.19
2018-08-23,2220603.0,145.37,145.52,145.04,144.75
2018-08-24,2776813.0,146.04,146.0869,145.46,144.87
2018-08-27,3491565.0,146.69,147.62,146.94,146.52
2018-08-28,2455328.0,146.59,146.99,146.95,146.19
2018-08-29,3153845.0,147.54,147.93,146.87,146.6
2018-08-30,3340369.0,145.93,147.3,147.03,145.25
2018-08-31,3488476.0,146.48,146.78,145.72,145.5401
2018-09-04,3326153.0,145.68,146.19,145.98,144.81
2018-09-05,3126540.0,146.66,146.75,145.19,145.05
2018-09-06,4248831.0,146.39,147.66,146.88,145.54
2018-09-07,4693127.0,145.45,146.5031,145.94,145.12
2018-09-10,3618209.0,145.65,147.3,146.6,145.56
2018-09-11,3374774.0,146.49,146.99,146.0,145.25
2018-09-12,4506679.0,146.57,147.98,146.37,146.03
2018-09-13,5346540.0,148.95,149.0,147.35,147.1179
2018-09-14,3452144.0,148.33,149.3,148.85,147.78
2018-09-17,3551882.0,147.94,149.07,148.44,147.77
2018-09-18,3629596.0,148.56,148.985,147.76,147.47
2018-09-19,4246382.0,149.06,149.9599,148.63,148.23
2018-09-20,5952223.0,151.15,151.38,149.58,149.44
2018-09-21,19947878.0,151.35,152.6,151.48,150.74
2018-09-24,4264984.0,150.03,151.2,151.1,149.46
2018-09-25,4064985.0,148.91,150.41,149.91,148.36
2018-09-26,2488133.0,152.42,152.7,152.4,151.38
