date,5. volume,close value,2. high,1. open,3. low
5/14/2018,3432233,177.82,177.9,174.81,173.83
5/15/2018,1610834,177.1,177.87,177.67,176.68
5/16/2018,1458464,177.47,177.95,177.5,176.69
5/17/2018,1447770,177.03,178.06,177.47,176.72
5/18/2018,1559684,176.81,177.56,177.07,176.25
5/21/2018,1183640,177.72,177.89,177.89,176.64
5/22/2018,2348055,177.21,178.99,177.88,177.21
5/23/2018,1277252,177.34,177.57,177.04,176.36
5/24/2018,1155229,177.12,177.595,177.25,175.47
5/25/2018,953127,178.54,178.605,177.14,176.495
5/29/2018,1732336,176.78,178,177.7,176.47
5/30/2018,1342204,177.87,178.17,177.45,176.94
5/31/2018,2587374,176.13,177.71,177.71,175.1
6/1/2018,1674328,176.6,177,176.6,176.08
6/4/2018,1062247,176.3,177.13,176.6,176.03
6/5/2018,1834386,175.65,176.59,176.05,174.91
6/6/2018,1966134,179.01,179.09,175.79,175.75
6/7/2018,2409876,179.74,180,179.12,178.2
6/8/2018,2222725,180.81,180.83,179.87,179.43
6/11/2018,1653816,182.06,182.41,180.84,180.13
6/12/2018,2961093,180.68,182.29,181.22,179.15
6/13/2018,4058087,187.42,188.52,185.05,184.98
6/14/2018,1511346,188.09,188.64,187.77,187.2
6/15/2018,2971264,189.5,189.61,187.59,187.59
6/18/2018,1351578,186.95,189.2,189.09,186.67
6/19/2018,1508812,189.28,189.79,186.31,186.09
6/20/2018,1288564,190.23,190.725,189.2,188.67
6/21/2018,1038548,189.15,191.3,190.38,189.1
6/22/2018,1513811,190.92,191.5,189.27,189.27
6/25/2018,1278585,189.58,190.86,190.65,188.76
6/26/2018,1203426,188.08,189.78,188.63,187.87
6/27/2018,1471847,188.82,190.15,187.51,187.31
6/28/2018,3420582,185.36,186.35,184.39,183.01
6/29/2018,2504387,183.5,185.79,185.4,183.46
7/2/2018,1693459,185.68,185.68,183.47,183.47
7/3/2018,666839,185.2,186.06,185.68,184.85
7/5/2018,2909158,184.99,186.35,185.78,184.91
7/6/2018,2134404,186.21,186.45,185.01,184.96
7/9/2018,860414,187.51,189.03,186.81,186.81
7/10/2018,1015022,188.26,188.93,188.04,187.72
7/11/2018,540623,187.56,188.43,188.11,187.26
7/12/2018,4981664,191.08,193.66,187.9,187.44
7/13/2018,1994652,191.89,193.22,191.06,191
7/16/2018,1544949,191.45,194,191.8,191.0806
7/17/2018,1529076,191.54,191.95,191.07,189.52
7/18/2018,1187866,191.33,191.91,191.03,190.93
7/19/2018,2376724,190.04,190.94,190.79,188.34
7/20/2018,6394230,187.22,189.71,189.49,187.22
7/23/2018,2445815,188.33,188.81,187.88,187.68
7/24/2018,2122878,187.56,189.09,187.51,187.5
7/25/2018,684391,189.12,189.26,187.56,187.28
7/26/2018,877176,189.15,190.695,190.25,189.01
7/27/2018,1151993,189.61,190.14,189.17,189.01
7/30/2018,1437607,189.66,190.1095,189.25,189.01
7/31/2018,1168439,188.39,190.25,189.65,187.945
8/1/2018,3064387,186.79,190.32,189,186.65
8/2/2018,2032240,187.05,189.21,187.71,186.39
8/3/2018,1021553,188.73,189.25,187.73,187.1
8/6/2018,2140789,188.61,189.03,188.91,188.16
8/7/2018,1122951,188.19,189,188.5,188.17
8/8/2018,3607101,193.63,194.84,192,192
8/9/2018,2106976,193.78,194.88,193.54,193.35
8/10/2018,1360223,194.52,194.57,193.29,193.2
8/13/2018,1455754,194.71,195.425,194.97,193.97
8/14/2018,2122748,196.95,197.63,194.63,194.6
8/15/2018,1465434,197.29,197.39,196.4,196.04
8/16/2018,2018627,198.47,199.05,197.04,196.98
8/17/2018,879406,198.86,199.32,199.22,197.96
8/20/2018,931517,199.52,199.95,199,198.89
8/21/2018,2014153,198.35,199.55,199.15,198.35
8/22/2018,1962002,197.77,199.255,198.18,197.7
8/23/2018,1700164,196.7,197.75,197.75,196.57
8/24/2018,1429890,197.27,197.73,196.48,196.48
8/27/2018,701554,197.9,198.12,197.55,197.23
8/28/2018,1649791,198.86,199,197.86,197.73
8/29/2018,1465948,199.27,199.61,199,198.45
8/30/2018,925808,199.57,199.78,198.75,198.46
8/31/2018,1389157,200.27,200.35,199.39,198.8101
9/4/2018,1269007,199.3,200.88,200.4,198.67
9/5/2018,4018900,201.93,202.97,199.18,197.95
9/6/2018,3075994,202.62,203.47,202.29,201.705
9/7/2018,3057037,203.08,203.74,202.32,202.32
9/10/2018,2339175,201.05,203.61,203.36,201.05
9/11/2018,1592694,202.19,202.24,201.01,200.16
9/12/2018,1484431,203.43,203.52,202.09,201.78
9/13/2018,2067287,203.03,204.2,203.98,203.03
9/14/2018,1877847,202.75,203.86,203.34,202.75
9/17/2018,3436352,204.77,205.58,203.01,202.74
9/18/2018,1846199,205.44,206.28,204.5,204.17
9/19/2018,1230077,205.67,206.66,205.51,204.97
9/20/2018,2066794,205.2,206.33,205.63,205.2
9/21/2018,4885421,204.27,206,205.66,203.7
9/24/2018,1209003,203.4,204.65,203.64,202.68
9/25/2018,3438418,201.63,204.27,203.78,199.95
9/26/2018,978389,201.76,203,201.94,201.26
9/27/2018,2241098,202.68,203.51,202.77,201.87
9/28/2018,2453952,202.85,203.39,202.91,201.79
10/1/2018,1256088,203.6,204.7,203.29,202.6
10/2/2018,1890249,203.15,203.98,203.61,202.9
10/3/2018,89523,203.96,204,202.63,202.7
