start_time_yr,start_time_mo,start_time_dt,start_time_hr,start_time_mn,start_time_sc,start_time_ms,meal_type,calorie,update_time_yr,update_time_mo,update_time_dt,update_time_hr,update_time_mn,update_time_sc,update_time_ms,amount,pkg_name,time_offset,name,comment,unit,custom,create_time_yr,create_time_mo,create_time_dt,create_time_hr,create_time_mn,create_time_sc,create_time_ms,food_info_id
2018,7,13,16,0,0,0,100002,4.4,2018,7,13,21,0,53,448,0.2,com.sec.android.app.shealth,UTC-0400,Tomatoes,NA,120001,NA,2018,7,13,21,0,53,448,85161aed-7e85-4eef-bf5d-839008caa7cd
2018,7,13,12,0,0,0,100001,49,2018,7,13,20,58,53,212,0.3,com.sec.android.app.shealth,UTC-0400,Wild Rice (Cooked),NA,120001,NA,2018,7,13,20,58,53,212,e4147c51-0b2f-4958-a447-b3b87daada16
2018,7,5,19,32,23,349,100006,37,2018,7,5,19,57,27,459,0.5,com.sec.android.app.shealth,UTC-0400,Pineapple,NA,120001,NA,2018,7,5,19,32,34,518,6835060c-2197-428c-ab62-f8e16e8c34ea
2018,6,18,15,42,4,304,100002,154,2018,6,18,15,43,30,253,0.4,com.sec.android.app.shealth,UTC-0400,"Ramen Noodle Soup (Dry, Dehydrated)",NA,120001,NA,2018,6,18,15,43,30,253,b569d652-49d9-4073-a67c-d3162ea8174e
2018,7,20,1,0,0,0,100006,83,2018,7,20,20,51,25,932,1,com.sec.android.app.shealth,UTC-0400,Blueberries,NA,120001,NA,2018,7,20,20,51,25,932,85e1291b-43ec-4b34-ac0a-6605b6e6ef10
2018,6,27,15,20,56,881,100002,291,2018,6,27,15,24,19,156,1.5,com.sec.android.app.shealth,UTC-0400,Baked Potato (Peel Eaten),NA,120001,NA,2018,6,27,15,24,19,156,5e31f067-057c-4bd4-bcc7-52c7f0639450
2018,6,22,19,35,46,547,100003,41,2018,6,23,15,15,53,447,0.5,com.sec.android.app.shealth,UTC-0400,Blueberries,NA,120001,NA,2018,6,22,19,36,7,916,85e1291b-43ec-4b34-ac0a-6605b6e6ef10
2018,7,17,16,0,0,579,100002,260,2018,7,17,22,7,48,870,5,com.sec.android.app.shealth,UTC-0400,Firm Silken Tofu,NA,120001,NA,2018,7,17,22,6,39,870,a2d836f3-db75-45cf-a6b1-31018fd8e113
2018,6,13,22,0,0,0,100003,32,2018,6,14,14,13,38,578,4,com.sec.android.app.shealth,UTC-0400,Dried Apricot,NA,120001,NA,2018,6,14,14,13,38,578,8279e50e-c323-4a8d-88b6-81de674fc383
2018,7,17,16,0,0,579,100002,17,2018,7,17,22,7,48,893,0.5,com.sec.android.app.shealth,UTC-0400,Green String Beans,NA,120001,NA,2018,7,17,22,6,39,871,349a1615-1a56-4e6f-9fb6-8355a3e53eec
