DATE,Average Temperature,TMAX,TMIN,Average Wind Speed,PRCP,SNOW,SNWD,WDF2,WDF5,WSF2,WSF5
9/23/2018,79,90,73,4.92,0.07,0,0,160,170,18.1,23.9
9/24/2018,77,87,72,7.16,0.06,0,0,160,130,21.9,28
9/25/2018,77,90,73,7.38,0.23,0,0,190,180,17,21.9
9/26/2018,74,75,70,4.25,1.43,0,0,310,310,15,17
9/27/2018,73,78,65,5.82,0.24,0,0,350,310,14.1,19.9
9/28/2018,69,78,64,2.91,0,0,0,290,230,6.9,13
9/29/2018,72,86,62,2.01,0,0,0,20,350,6.9,10.1
9/30/2018,76,88,67,5.14,0,0,0,110,130,12.1,14.1
10/1/2018,77,86,72,7.38,0.03,0,0,170,180,16.1,21
10/2/2018,77,89,71,3.8,0,0,0,240,220,8.9,13
10/3/2018,78,89,69,4.7,0,0,0,160,160,8.9,12.1
10/4/2018,78,92,69,2.68,0,0,0,240,260,10.1,12.1
10/5/2018,79,91,69,2.68,0,0,0,220,140,8.9,12.1
10/6/2018,79,91,70,2.91,0,0,0,230,230,10.1,13
10/7/2018,79,90,69,6.26,0,0,0,130,140,16.1,19.9
10/8/2018,77,88,68,9.17,0,0,0,120,120,17,21.9
10/9/2018,77,84,73,12.08,0,0,0,120,120,21.9,29.1
10/10/2018,77,81,72,6.93,0.02,0,0,130,130,19.9,23.9
10/11/2018,72,75,52,10.29,0,0,0,310,300,17,21.9
10/12/2018,59,73,47,4.7,0,0,0,40,310,13,16.1
10/13/2018,63,73,56,5.59,0.07,0,0,50,60,13,17
10/14/2018,67,81,59,8.5,0,0,0,190,210,16.1,23
10/15/2018,72,82,57,7.38,0.04,0,0,340,340,17,25.9
10/16/2018,58,60,56,5.82,0.92,0,0,10,350,13,17
10/17/2018,60,72,54,7.16,0.09,0,0,20,20,14.1,19.9
10/18/2018,59,71,50,5.59,0,0,0,20,20,12.1,15
10/19/2018,60,78,46,4.7,0,0,0,190,160,14.1,18.1
10/20/2018,63,68,51,6.93,0.28,0,0,310,320,14.1,19.9
10/21/2018,51,61,38,9.17,0,0,0,20,10,21.9,28
10/22/2018,50,68,36,3.58,0,0,0,130,190,10.1,14.1
10/23/2018,54,71,43,1.34,0,0,0,360,340,6.9,8.9
10/24/2018,54,73,39,4.7,0,0,0,50,40,12.1,14.1
10/25/2018,56,62,51,11.63,0.75,0,0,120,120,19.9,25.9
10/26/2018,54,60,51,9.62,0.14,0,0,270,260,17,23.9
10/27/2018,55,63,46,6.49,0,0,0,300,240,17,27.1
10/28/2018,58,80,44,7.38,0,0,0,230,210,21,28
10/29/2018,59,71,42,2.24,0,0,0,50,10,10.1,15
10/30/2018,57,76,44,6.93,0,0,0,160,180,14.1,21
10/31/2018,66,78,59,10.07,0,0,0,160,170,19.9,28
11/1/2018,68,69,54,12.08,0.93,0,0,180,170,28,38
11/2/2018,53,56,45,5.59,0,0,0,330,320,15,19.9
11/3/2018,52,67,40,6.26,0,0,0,110,150,8.9,13
11/4/2018,55,67,47,10.07,0.28,0,0,150,150,25.9,34
11/5/2018,56,73,48,9.4,0,0,0,190,190,23,35.1
11/6/2018,67,74,49,4.7,1.05,0,0,300,200,25.1,36
11/7/2018,53,62,45,5.82,0.06,0,0,330,330,15,19
11/8/2018,54,55,51,6.26,0.03,0,0,10,10,14.1,17
11/9/2018,52,56,38,8.05,0.63,0,0,340,350,17,23
11/10/2018,40,47,30,8.05,0,0,0,40,30,18.1,23.9
11/11/2018,39,54,27,4.92,0,0,0,110,110,13,18.1
11/12/2018,48,52,45,7.38,1.32,0,0,100,110,14.1,17
11/13/2018,46,50,36,11.41,0.05,0,0,10,20,17,25.1
11/14/2018,39,43,36,6.93,0.72,0,0,20,30,16.1,19.9
11/15/2018,35,36,30,8.05,0,0,0,260,270,17,21
11/16/2018,39,59,27,3.8,0,0,0,240,230,8.1,11
11/17/2018,47,67,33,2.91,0,0,0,330,350,8.1,13
11/18/2018,49,65,38,3.8,0,0,0,160,70,6.9,11
11/19/2018,50,62,41,6.71,0.01,0,0,230,220,15,19.9
11/20/2018,47,50,34,5.82,0,0,0,310,350,13,18.1
11/21/2018,41,55,28,4.92,0,0,0,350,30,10.1,14.1
11/22/2018,44,64,31,2.91,0,0,0,100,130,8.1,10.1
11/23/2018,46,52,37,13.65,0.23,0,0,140,120,25.1,31.1
11/24/2018,51,61,41,7.16,0,0,0,160,160,18.1,23
11/25/2018,50,63,40,12.08,0,0,0,270,270,30,36.9
11/26/2018,45,56,34,12.75,0,0,0,270,260,25.9,35.1
11/27/2018,34,39,26,8.05,0,0,0,260,270,17,23.9
11/28/2018,32,47,21,3.36,0,0,0,100,170,8.1,11
11/29/2018,44,63,32,9.17,0.06,0,0,190,210,19.9,25.1
11/30/2018,61,65,59,10.29,0.9,0,0,210,220,19.9,25.1
12/1/2018,60,68,56,14.32,0.52,0,0,140,140,23,32
12/2/2018,63,72,50,9.62,0,0,0,250,250,23,33.1
12/3/2018,51,56,40,6.71,0,0,0,320,310,15,19
12/4/2018,43,48,33,7.83,0,0,0,320,310,14.1,17
12/5/2018,35,43,27,7.61,0,0,0,310,340,17,23.9
12/6/2018,35,49,25,3.36,0,0,0,150,140,13,16.1
12/7/2018,44,45,41,2.24,0.15,0,0,60,60,8.1,10.1
12/8/2018,43,46,41,9.62,2.04,0,0,100,110,31.1,42.9
12/9/2018,43,46,37,8.05,0.6,0,0,330,340,15,19.9
12/10/2018,38,41,30,6.49,0.15,0,0,330,360,13,15
12/11/2018,35,46,25,3.36,0,0,0,250,230,6.9,8.9
12/12/2018,38,52,30,6.04,0,0,0,220,200,14.1,17
12/13/2018,49,60,43,10.51,0,0,0,120,120,19.9,25.9
12/14/2018,53,56,51,13.42,1.5,0,0,110,110,23,30
12/15/2018,52,56,47,7.16,0.02,0,0,240,240,18.1,21.9
12/16/2018,52,61,43,6.93,0,0,0,290,280,15,21
12/17/2018,47,59,37,2.91,0,0,0,240,220,8.9,11
12/18/2018,43,58,32,4.03,0,0,0,270,270,12.1,13
12/19/2018,44,56,37,5.14,0.05,0,0,120,110,15,18.1
12/20/2018,50,51,48,6.26,1.02,0,0,110,120,17,23
12/21/2018,45,48,39,13.42,0.16,0,0,310,310,21,28
12/22/2018,40,53,30,4.47,0,0,0,120,210,8.1,11
12/23/2018,47,55,38,9.4,0.01,0,0,290,290,19.9,25.1
12/24/2018,40,51,29,4.25,0,0,0,70,70,13,18.1
12/25/2018,40,50,32,3.8,0.01,0,0,130,130,10.1,11
12/26/2018,52,63,46,9.62,0,0,0,130,150,18.1,23
12/27/2018,55,60,50,17.67,2.12,0,0,140,150,33.1,44.1
12/28/2018,58,65,47,6.93,0.95,0,0,110,290,19.9,21.9
12/29/2018,46,52,39,6.04,0,0,0,20,20,15,17
12/30/2018,48,57,43,7.61,0,0,0,130,20,14.1,17
12/31/2018,62,74,57,11.86,0.5,0,0,190,280,31.1,45
1/1/2019,57,60,46,5.59,0,0,0,20,30,13,16.1
1/2/2019,47,50,45,3.58,0.85,0,0,130,130,10.1,11
1/3/2019,49,52,47,5.37,0.44,0,0,10,20,15,18.1
1/4/2019,53,62,44,14.54,0.4,0,0,100,240,25.9,33.1
1/5/2019,46,58,37,5.14,0,0,0,290,290,17,21.9
1/6/2019,48,66,36,2.24,0,0,0,120,120,6.9,6.9
1/7/2019,52,66,42,9.62,0,0,0,170,160,21,25.1
1/8/2019,61,68,47,10.29,0,0,0,330,330,17,21.9
1/9/2019,47,50,35,10.51,0,0,0,330,290,19.9,27.1
1/10/2019,36,43,28,8.95,0,0,0,10,10,16.1,19
1/11/2019,35,51,25,4.7,0,0,0,60,130,8.9,12.1
1/12/2019,45,49,39,12.3,0.45,0,0,130,130,23,28
1/13/2019,45,47,40,9.17,0.01,0,0,260,270,15,21.9
1/14/2019,39,40,37,6.71,0,0,0,330,240,12.1,17
1/15/2019,37,39,31,4.7,0,0,0,30,350,13,16.1
1/16/2019,37,52,27,2.46,0,0,0,100,170,6,10.1
1/17/2019,42,49,34,6.04,0.48,0,0,120,130,13,16.1
1/18/2019,51,60,48,2.91,0,0,0,110,130,15,18.1
1/19/2019,55,62,34,13.2,2.69,0,0,290,220,28,38
1/20/2019,35,36,25,13.42,0,0,0,320,310,25.1,35.1
1/21/2019,29,39,22,8.72,0,0,0,20,30,15,19
1/22/2019,39,54,30,15.21,0,0,0,130,140,25.9,31.1
1/23/2019,51,59,39,13.42,1.69,0,0,150,150,25.9,34
1/24/2019,39,42,31,8.72,0.02,0,0,310,300,16.1,23
1/25/2019,35,42,28,4.47,0,0,0,350,350,12.1,15
1/26/2019,36,50,27,4.03,0,0,0,320,300,12.1,14.1
1/27/2019,42,57,31,3.58,0,0,0,310,330,13,16.1
1/28/2019,44,61,31,8.05,0,0,0,220,220,23,27.1
1/29/2019,39,47,24,9.62,0.12,0,0,330,320,21,28
1/30/2019,29,39,23,6.04,0,0,0,330,330,16.1,19.9
1/31/2019,33,51,22,4.25,0,0,0,100,90,8.9,11
2/1/2019,48,64,38,4.92,0,0,0,180,210,14.1,18.1
2/2/2019,51,70,36,4.92,0,0,0,140,130,12.1,14.1
2/3/2019,55,67,47,4.03,0,0,0,150,180,12.1,15
2/4/2019,56,66,49,7.16,0.04,0,0,170,190,16.1,21
2/5/2019,63,72,59,6.04,0.03,0,0,180,190,13,15
2/6/2019,67,73,64,11.41,0.04,0,0,210,210,21,28
2/7/2019,71,78,51,14.99,0.16,0,0,190,190,31.1,42.1
2/8/2019,46,51,33,12.3,0,0,0,20,320,19.9,25.9
2/9/2019,37,53,29,8.95,0,0,0,20,30,21,25.9
2/10/2019,46,49,42,9.84,0.03,0,0,140,140,19.9,23.9
2/11/2019,51,61,47,8.5,0.01,0,0,150,140,16.1,19
2/12/2019,59,67,38,10.29,1.06,0,0,290,290,23.9,34
2/13/2019,43,56,33,5.82,0,0,0,290,260,13,21
2/14/2019,47,62,36,10.29,0,0,0,190,180,21,29.1
2/15/2019,58,62,50,7.38,0.6,0,0,230,240,21,29.1
2/16/2019,45,51,40,7.61,0.22,0,0,350,350,18.1,23
2/17/2019,51,63,43,7.83,0.94,0,0,290,290,19.9,25.1
2/18/2019,45,48,37,10.07,0,0,0,30,350,16.1,21
2/19/2019,38,46,34,11.18,2.5,0,0,100,100,25.1,31.1
2/20/2019,49,56,45,13.87,0.48,0,0,140,140,31.1,36.9
2/21/2019,51,54,46,9.62,1.42,0,0,50,60,21.9,25.9
2/22/2019,51,56,49,7.16,1.58,0,0,120,130,18.1,21
2/23/2019,57,71,54,12.75,3.4,0,0,260,260,29.1,36
2/24/2019,59,68,39,12.53,0,0,0,290,290,30,40.9
2/25/2019,45,58,34,4.92,0,0,0,40,40,17,19.9
2/26/2019,53,68,42,4.03,0,0,0,170,110,8.9,12.1
2/27/2019,58,73,49,3.13,0.08,0,0,300,300,10.1,13
2/28/2019,60,64,55,5.59,1.04,0,0,320,170,13,21
3/1/2019,52,55,44,6.93,0.14,0,0,270,270,14.1,19
